video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y-0BIyqJj9ZU,"Baby laughter; Snicker; Chuckle, chortle; Laughter; Belly laugh","Baby laughter; Belly laugh; Chuckle, chortle",2.119,3,5,3
Y-0CamVQdP_Y,Music; Speech,"Speech; Walk, footsteps; Music",1.840,2,2,3
Y-0Gj8-vB1q4,Music; Sad music; Lullaby; New-age music; Tender music,Music; Theme music; Christmas music,2.102,1,5,3
Y-0jeONf82dE,"Music; Speech; Animal; Horse; Neigh, whinny","Speech; Animal; Horse; Neigh, whinny; Music",2.045,5,5,5
Y-0nqfRcnAYE,"Speech; Typewriter; Dishes, pots, and pans; Cutlery, silverware; Coin (dropping); Inside, small room","Dishes, pots, and pans",2.185,1,6,1
Y-0p7hKXZ1ww,"Speech; Cap gun; Firecracker; Gunshot, gunfire",Speech; Firecracker,2.168,2,4,2
Y-0RWZT-miFs,Vehicle; Keys jangling; Car; Speech; Motor vehicle (road),Car; Keys jangling,2.132,2,5,2
Y-0vPFx-wRRI,Speech; Tap; Music,Finger snapping; Music,2.183,1,3,2
Y-0xzrMun0Rs,Music; Animal,Stomach rumble; Music,2.158,1,2,2
Y-0yRK50zyTI,"Speech; Crackle; Inside, small room",Speech; Crackle,2.099,2,3,2
Y-0YUDn-1yII,Music; Vehicle,Music; Theme music,2.192,1,2,2
Y-1EXhfqLLwQ,"Water; Toilet flush; Bathtub (filling or washing); Water tap, faucet; Gush","Animal; Domestic animals, pets; Water; Bathtub (filling or washing); Gush; Fill (with liquid); Pump (liquid)",2.107,3,5,7
Y-1hDIl9Udkw,Speech; Music; Vehicle; Hiss; Car; Steam,Speech; Rattle; Music,2.129,2,6,3
Y-1Hub6Ps_cc,"Speech; Water; Water tap, faucet; Sink (filling or washing); Inside, small room; Fill (with liquid)","Speech; Hands; Water tap, faucet; Sink (filling or washing); Inside, small room",2.157,4,6,5
Y-1II0Di9Hkc,Music; Singing; Pink noise; Guitar; Musical instrument,Music; Radio,2.125,1,5,2
