video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y-0BIyqJj9ZU,"Laughter; Baby laughter; Speech; Belly laugh; Giggle; Snicker; Babbling; Inside, small room","Baby laughter; Belly laugh; Chuckle, chortle",1.028,2,8,3
Y-0CamVQdP_Y,Music; Speech; Musical instrument,"Speech; Walk, footsteps; Music",0.726,2,3,3
Y-0Gj8-vB1q4,Music; Musical instrument,Music; Theme music; Christmas music,0.993,1,2,3
Y-0jeONf82dE,"Neigh, whinny; Horse; Speech; Music; Animal; Clip-clop; Oink","Speech; Animal; Horse; Neigh, whinny; Music",1.011,5,7,5
Y-0nqfRcnAYE,"Speech; Inside, small room","Dishes, pots, and pans",1.000,0,2,1
Y-0p7hKXZ1ww,Speech; Animal,Speech; Firecracker,0.915,1,2,2
Y-0RWZT-miFs,"Speech; Power windows, electric windows; Vehicle; Car; Keys jangling; Microwave oven; Motor vehicle (road); Door",Car; Keys jangling,0.947,2,8,2
Y-0vPFx-wRRI,"Speech; Finger snapping; Inside, small room",Finger snapping; Music,1.012,1,3,2
Y-0xzrMun0Rs,Music; Stomach rumble; Animal; Musical instrument; Guitar; Plucked string instrument,Stomach rumble; Music,0.946,2,6,2
Y-0yRK50zyTI,"Speech; Crumpling, crinkling; Crackle; Shuffling cards; Inside, small room; Tearing",Speech; Crackle,0.973,2,6,2
Y-0YUDn-1yII,Music; Musical instrument; Vehicle,Music; Theme music,1.019,1,3,2
Y-1EXhfqLLwQ,Water; Toilet flush; Gush; Speech; Pump (liquid),"Animal; Domestic animals, pets; Water; Bathtub (filling or washing); Gush; Fill (with liquid); Pump (liquid)",1.055,3,5,7
Y-1hDIl9Udkw,Speech; Music; Rain; Rain on surface; Thunderstorm; Thunder,Speech; Rattle; Music,0.966,2,6,3
Y-1Hub6Ps_cc,"Speech; Water; Water tap, faucet; Sink (filling or washing); Inside, small room; Liquid","Speech; Hands; Water tap, faucet; Sink (filling or washing); Inside, small room",0.949,4,6,5
Y-1II0Di9Hkc,Music; Singing; Musical instrument,Music; Radio,0.999,1,3,2
Y-1LQP2wemiQ,Speech; Busy signal; Dial tone; Telephone; Sidetone,"Speech; Female speech, woman speaking; Beep, bleep",1.076,1,5,3
Y-1nilez17Dg,"Speech; Heart sounds, heartbeat; Heart murmur; Throbbing; Hum",Speech; Heart murmur,0.946,2,5,2
Y-1OlgJWehn8,Music; Singing; Musical instrument,Music; Radio,1.050,1,3,2
Y-1pPw9zZopA,"Speech; Music; Inside, small room",Water; Toilet flush,0.964,0,3,2
Y-1pRmoJIGQc,Vehicle; Light engine (high frequency); Speech; Engine,Engine; Engine knocking; Idling,1.008,1,4,3
Y-1PZQg5Gi8A,Music; Speech; Brass instrument; Musical instrument; Trombone,"Smash, crash",1.093,0,5,1
Y-1UWSisR2zo,Music; Speech; Singing,Music; Maraca,1.090,1,3,2
Y-2EKWgTNEYU,Music,Radio,0.981,0,1,1
Y-2sE5CH8Wb8,"Vehicle; Emergency vehicle; Siren; Music; Fire engine, fire truck (siren); Train; Truck; Rail transport; Ambulance (siren); Speech",Vehicle; Truck; Reversing beeps,1.163,2,10,3
Y-2xiZDEuHd8,"Music; Grunt; Speech; Burping, eructation; Oink",Speech; Oink; Music,1.136,3,5,3
