video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y-0BIyqJj9ZU,"Baby laughter; Snicker; Chuckle, chortle; Laughter","Baby laughter; Belly laugh; Chuckle, chortle",1.677,2,4,3
Y-0CamVQdP_Y,Music; Speech,"Speech; Walk, footsteps; Music",1.437,2,2,3
Y-0Gj8-vB1q4,Music; Sad music; Lullaby; Humming,Music; Theme music; Christmas music,1.716,1,4,3
Y-0jeONf82dE,"Speech; Animal; Music; Horse; Neigh, whinny","Speech; Animal; Horse; Neigh, whinny; Music",1.696,5,5,5
Y-0nqfRcnAYE,"Dishes, pots, and pans; Speech; Cutlery, silverware; Coin (dropping)","Dishes, pots, and pans",1.652,1,4,1
Y-0p7hKXZ1ww,"Speech; Firecracker; Cap gun; Burst, pop; Gunshot, gunfire",Speech; Firecracker,1.674,2,5,2
Y-0RWZT-miFs,"Speech; Keys jangling; Vehicle; Car; Power windows, electric windows",Car; Keys jangling,1.698,2,5,2
Y-0vPFx-wRRI,Music; Tap; Musical instrument,Finger snapping; Music,1.750,1,3,2
Y-0xzrMun0Rs,Music; Purr; Animal,Stomach rumble; Music,1.670,1,3,2
Y-0yRK50zyTI,Speech; Shuffling cards,Speech; Crackle,1.730,1,2,2
Y-0YUDn-1yII,Music,Music; Theme music,1.708,1,1,2
Y-1EXhfqLLwQ,"Water; Water tap, faucet; Bathtub (filling or washing); Toilet flush; Sink (filling or washing); Fill (with liquid)","Animal; Domestic animals, pets; Water; Bathtub (filling or washing); Gush; Fill (with liquid); Pump (liquid)",1.716,3,6,7
Y-1hDIl9Udkw,Music; Speech; Hiss; Steam; Thunderstorm; Thunder; Ocean; Wind; Rain,Speech; Rattle; Music,1.769,2,9,3
Y-1Hub6Ps_cc,"Sink (filling or washing); Water; Water tap, faucet; Speech; Inside, small room","Speech; Hands; Water tap, faucet; Sink (filling or washing); Inside, small room",1.682,4,5,5
Y-1II0Di9Hkc,Music; Musical instrument; Guitar; Rock music; Plucked string instrument; Singing; Psychedelic rock,Music; Radio,1.752,1,7,2
Y-1LQP2wemiQ,Busy signal; Speech; Telephone,"Speech; Female speech, woman speaking; Beep, bleep",1.725,1,3,3
Y-1nilez17Dg,"Heart sounds, heartbeat; Heart murmur; Speech",Speech; Heart murmur,1.739,2,3,2
Y-1OlgJWehn8,Music; Musical instrument; Guitar; Rock music; Plucked string instrument; Singing; Psychedelic rock,Music; Radio,1.755,1,7,2
Y-1pPw9zZopA,"Toilet flush; Speech; Water; Inside, small room",Water; Toilet flush,1.746,2,4,2
Y-1pRmoJIGQc,Vehicle; Engine; Idling; Car; Vibration; Medium engine (mid frequency); Engine knocking; Heavy engine (low frequency),Engine; Engine knocking; Idling,1.719,3,8,3
Y-1PZQg5Gi8A,Music; Speech; Brass instrument; Trombone; Trumpet; Shatter,"Smash, crash",1.739,0,6,1
Y-1UWSisR2zo,Music; Speech; Techno; Electronic music; Crowd; Electronica; Dance music; House music; Disco,Music; Maraca,1.659,1,9,2
Y-2EKWgTNEYU,Buzzer,Radio,1.741,0,1,1
Y-2sE5CH8Wb8,Printer; Vehicle; Reversing beeps; Truck,Vehicle; Truck; Reversing beeps,1.727,3,4,3
Y-2xiZDEuHd8,"Music; Speech; Grunt; Burping, eructation; Music for children; Pig; Oink",Speech; Oink; Music,1.649,3,7,3
Y-3-4qmWSJXU,Rain; Thunderstorm; Thunder; Rain on surface; Raindrop,Thunderstorm; Thunder; Rain; Rain on surface,1.689,4,5,4
Y-3Kv4fdm7Uk,Music; Steelpan; Musical instrument; Drum; Percussion,Music; Musical instrument; Steelpan,1.673,3,5,3
Y-ZJqu_4zLMc,"Cat; Speech; Domestic animals, pets; Meow; Animal; Caterwaul; Inside, small room","Speech; Animal; Domestic animals, pets; Cat; Meow; Caterwaul",1.674,6,7,6
Y-_f_ClsDxyc,"Clarinet; Music; Brass instrument; Musical instrument; Saxophone; French horn; Classical music; Piano; Wind instrument, woodwind instrument; Trombone",Brass instrument; Trumpet; Clarinet,1.739,2,10,3
Y-_HXiz8XnV0,"Speech; Music; Thunk; Inside, small room; Ding-dong; Jingle, tinkle; Thump, thud","Speech; Music; Breaking; Inside, small room",1.819,3,7,4
Y-_QPd-VskKY,Speech; Single-lens reflex camera; Camera; Vehicle,Mouse,1.771,0,4,1
Y-_UCboMO_xE,"Laughter; Speech; Snicker; Slap, smack; Chuckle, chortle","Slap, smack",1.578,1,5,1
Y0-2Onbywljo,"Oink; Speech; Music; Pig; Marimba, xylophone; Vibraphone",Speech; Grunt; Pig; Music,1.727,3,6,4
Y0-6N0Qagy5A,"Music; Bicycle bell; Heart murmur; Heart sounds, heartbeat",Music; Synthesizer; Bicycle bell,1.728,2,4,3
